"plant" "nectar_holder_depth_mm" "pollinator" "IT_mm"
"146" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.09
"147" "Eryngium_campestre" 2 "Lasioglossum_sp" 0.85
"148" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.03
"149" "Eryngium_campestre" 2 "Hylaeus_nigritum" 1.02
"150" "Eryngium_campestre" 2 "Halictus_sp" 1.24
"151" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.29
"152" "Eryngium_campestre" 2 "Halictus_sp" 1.25
"153" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.43
"154" "Eryngium_campestre" 2 "Lasioglossum_sp" 0.85
"155" "Eryngium_campestre" 2 "Lasioglossum_smaragdulus??" 1.2
"156" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.33
"157" "Eryngium_campestre" 2 "Lasioglossum_smaragdulus??" 1.16
"158" "Eryngium_campestre" 2 "Philanthus_pulchellus" 1.23
"159" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.11
"160" "Eryngium_campestre" 2 "Lasioglossum_sp" 0.99
"161" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.2
"162" "Eryngium_campestre" 2 "Lasioglossum_sp" 0.97
"163" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.33
"164" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.01
"165" "Eryngium_campestre" 2 "Lasioglossum_gemmeus" 1.23
"166" "Eryngium_campestre" 2 "_" 1.33
"167" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.6
"168" "Eryngium_campestre" 2 "Andrena_sp" 1.45
"169" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.31
"170" "Eryngium_campestre" 2 "Halictus_gemmeus" 1.26
"171" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.15
"172" "Eryngium_campestre" 2 "Lasioglossum_smaragdulus??" 1.16
"173" "Galactites_tomentosa" 10 "Andrena_sp" 1.38
"174" "Galactites_tomentosa" 10 "Andrena_sp" 1.35
"175" "Galactites_tomentosa" 10 "Halictus_quadricinctus" 2.72
"176" "Galactites_tomentosa" 10 "Hoplitis_sp" 2.39
"177" "Galactites_tomentosa" 10 "Hoplitis??_sp" 2.49
